time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll_accel,pitch_accel,roll_ekf,pitch_ekf,roll_madgwick,pitch_madgwick,roll_fused,pitch_fused
1027.819,0.953,-0.264,-0.496,0.02,-0.476,-0.08,-151.97549946792975,-59.47667741098086,-152.24583554276344,-59.39930025711176,-33.94734038786166,-63.83336951627495,-93.09658796531255,-61.61633488669335
1027.875,0.954,-0.258,-0.509,0.081,0.463,-0.073,-153.1206334363581,-59.113448483750226,-152.37396334721822,-59.33536310788392,-34.64448242648773,-64.24432485156706,-93.50922288685297,-61.78984397972549
1027.931,0.961,-0.258,-0.493,-0.117,-0.239,-0.118,-152.37574238956626,-59.928721475976516,-152.3804634044819,-59.44112539185032,-35.41178108238616,-64.68430634369787,-93.89612224343404,-62.062715867774095
1027.987,0.957,-0.26,-0.508,-0.025,0.112,-0.195,-152.89613292503924,-59.191904394491694,-152.46354203533545,-59.40189799258646,-36.171186364919585,-65.10603875953426,-94.31736420012751,-62.25396837606036
1028.044,0.962,-0.256,-0.488,0.12,-0.262,-0.088,-152.31893843151474,-60.194210854437024,-152.43954482815016,-59.543007678776995,-36.98911696626822,-65.5448958459092,-94.7143308972092,-62.5439517623431
1028.1,0.953,-0.258,-0.51,-0.01,-0.14,-0.218,-153.16595652922553,-59.04750547134918,-152.55801414099068,-59.4807123014951,-37.81283013435847,-65.9696471196386,-95.18542213767458,-62.72517971056685
1028.156,0.956,-0.257,-0.501,-0.01,0.188,0.103,-152.84335337909627,-59.50245189265384,-152.61231128750805,-59.48067030457347,-38.66540940722233,-66.36390015114002,-95.63886034736518,-62.92228522785675
1028.212,0.957,-0.263,-0.502,0.013,0.005,-0.057,-152.34975997087932,-59.36660891508835,-152.58120601192962,-59.46804821411419,-39.54853536503178,-66.76390038265144,-96.06487068848071,-63.11597429838282
1028.268,0.952,-0.253,-0.489,-0.033,-0.163,-0.019,-152.64374952263634,-59.95781468068837,-152.6014534902446,-59.557609125100285,-40.46804059915891,-67.16736166361949,-96.53474704470176,-63.36248539435989
1028.325,0.958,-0.257,-0.486,-0.056,0.119,0.179,-152.12981917011317,-60.149748652027355,-152.5390782353238,-59.65374443230785,-41.43266139639996,-67.55086570630455,-96.98586981586189,-63.6023050693062
1028.381,0.956,-0.266,-0.499,0.036,-0.293,-0.202,-151.9394335423924,-59.395836234368055,-152.44834423510466,-59.63954322704791,-42.41804394548018,-67.94901431458048,-97.43319409029242,-63.794278770814195
1028.438,0.955,-0.264,-0.494,0.158,0.104,-0.08,-151.87937547453814,-59.60791520548394,-152.351932258044,-59.64023663959156,-43.418578534755234,-68.32679278558277,-97.88525539639961,-63.983514712587166
1028.494,0.955,-0.265,-0.51,-0.01,-0.384,-0.057,-152.54325771540013,-58.9595870190755,-152.37942413777358,-59.56109741193197,-44.49751330426843,-68.71033522600116,-98.43846872102101,-64.13571631896656
1028.55,0.953,-0.26,-0.503,-0.01,0.142,0.042,-152.6656204546129,-59.28340223623024,-152.4233295613538,-59.515430506283145,-45.56107804090021,-69.06362373529039,-98.992203801127,-64.28952712078677
1028.606,0.952,-0.262,-0.503,-0.094,-0.071,0.004,-152.4861306992901,-59.216045979647575,-152.4381003800602,-59.47434276191253,-46.68441693315387,-69.41820400948374,-99.56125865660704,-64.44627338569813
